,Holder,Shares,Date Reported,% Out,Value,date
0,Vanguard Total Stock Market Index Fund,740.78M,2024-09-30,0.0302,103657758924,2024-12-26
1,Vanguard 500 Index Fund,644.28M,2024-09-30,0.0263,90153804067,2024-12-26
2,Fidelity 500 Index Fund,301.91M,2024-10-31,0.0123,42246727956,2024-12-26
3,SPDR S&P 500 ETF Trust,298.74M,2024-09-30,0.012199999999999999,41802821184,2024-12-26
4,iShares Core S&P 500 ETF,273.87M,2024-10-31,0.011200000000000002,38322835309,2024-12-26
5,Vanguard Growth Index Fund,215.21M,2024-09-30,0.0088,30114439930,2024-12-26
6,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF",184.32M,2024-10-31,0.0075,25792049053,2024-12-26
7,Vanguard Institutional Index Fund-Institutional Index Fund,156.46M,2024-09-30,0.0064,21893297348,2024-12-26
8,Vanguard Information Technology Index Fund,110.11M,2024-08-31,0.0045000000000000005,15407554082,2024-12-26
9,Fidelity Contrafund Inc,97.35M,2024-10-31,0.004,13622135811,2024-12-26
