Unnamed: 0,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,date,type
0,NVDA241227C00050000,2024-12-26 20:54:11+00:00,50.0,90.18,89.75,90.05,-0.51000214,-0.5623576,60.0,316.0,5.95312755859375,True,REGULAR,USD,2024-12-27,2024-12-27,call
86,NVDA250103C00050000,2024-12-26 15:37:49+00:00,50.0,89.1,89.8,90.25,1.6299973,1.8634928,4.0,36.0,2.72656568359375,True,REGULAR,USD,2025-01-03,2025-01-03,call
177,NVDA250110C00050000,2024-12-24 16:20:46+00:00,50.0,91.46,89.8,90.3,0.0,0.0,3.0,86.0,2.1054734863281244,True,REGULAR,USD,2025-01-10,2025-01-10,call
260,NVDA250117C00000500,2024-12-26 18:36:00+00:00,0.5,139.6,139.0,139.55,-1.0899963,-0.7747504,25.0,63048.0,11.843752597656252,True,REGULAR,USD,2025-01-17,2025-01-17,call
757,NVDA250124C00050000,2024-12-18 15:53:26+00:00,50.0,86.15,89.7,91.2,0.0,0.0,7.0,13.0,1.9101566992187504,True,REGULAR,USD,2025-01-24,2025-01-24,call
838,NVDA250131C00060000,2024-12-23 14:57:02+00:00,60.0,77.5,79.7,81.35,0.0,0.0,1.0,3.0,1.4736354443359376,True,REGULAR,USD,2025-01-31,2025-01-31,call
913,NVDA250221C00000500,2024-12-26 20:44:16+00:00,0.5,139.6,139.0,139.6,-0.98999023,-0.7041683,144.0,39789.0,8.109379931640625,True,REGULAR,USD,2025-02-21,2025-02-21,call
1361,NVDA250321C00005000,2024-12-26 15:30:49+00:00,5.0,134.01,134.75,135.6,-2.0200043,-1.4849697,18.0,6481.0,3.3476578808593747,True,REGULAR,USD,2025-03-21,2025-03-21,call
1682,NVDA250417C00005000,2024-12-26 16:56:23+00:00,5.0,134.72,134.5,135.7,-1.4400024,-1.0575811,100.0,12872.0,2.75781560546875,True,REGULAR,USD,2025-04-17,2025-04-17,call
1726,NVDA250516C00050000,2024-12-20 20:57:53+00:00,50.0,86.4,90.3,92.3,0.0,0.0,1.0,80.0,1.0600632934570315,True,REGULAR,USD,2025-05-16,2025-05-16,call
1766,NVDA250620C00000500,2024-12-26 20:41:31+00:00,0.5,139.74,139.05,139.8,4.1399994,3.0530968,118.0,52904.0,6.2500021875,True,REGULAR,USD,2025-06-20,2025-06-20,call
2284,NVDA250718C00050000,2024-12-20 14:53:02+00:00,50.0,81.38,90.55,92.25,0.0,0.0,2.0,59.0,0.896241271972656,True,REGULAR,USD,2025-07-18,2025-07-18,call
2324,NVDA250815C00005000,2024-12-26 16:33:43+00:00,5.0,134.9,134.05,136.2,-1.6000061,-1.1721656,60.0,1701.0,1.9609376953125,True,REGULAR,USD,2025-08-15,2025-08-15,call
2369,NVDA250919C00025000,2024-12-20 19:26:00+00:00,25.0,111.23,114.65,117.25,0.0,0.0,5.0,5.0,1.1877482019042969,True,REGULAR,USD,2025-09-19,2025-09-19,call
2578,NVDA251219C00000500,2024-12-24 15:37:57+00:00,0.5,140.23,138.45,139.85,0.0,0.0,2.0,6033.0,4.843753945312499,True,REGULAR,USD,2025-12-19,2025-12-19,call
3066,NVDA260116C00000500,2024-12-26 20:23:05+00:00,0.5,139.35,138.5,139.85,-1.0,-0.71250445,3.0,50892.0,4.6562541796875,True,REGULAR,USD,2026-01-16,2026-01-16,call
3516,NVDA260618C00000500,2024-12-23 20:26:31+00:00,0.5,138.95,138.55,141.65,0.0,0.0,1.0,19337.0,0.0,True,REGULAR,USD,2026-06-18,2026-06-18,call
3903,NVDA260918C00005000,2024-11-25 18:24:14+00:00,5.0,134.35,133.5,137.5,0.0,0.0,2.0,2.0,1.44140904296875,True,REGULAR,USD,2026-09-18,2026-09-18,call
3947,NVDA261218C00000500,2024-12-23 20:50:55+00:00,0.5,139.1,138.35,142.1,0.0,0.0,19.0,36686.0,0.0,True,REGULAR,USD,2026-12-18,2026-12-18,call
4336,NVDA270115C00005000,2024-12-26 16:23:16+00:00,5.0,136.49,134.5,137.95,-1.3099976,-0.95065135,8.0,337.0,1.6167011352539062,True,REGULAR,USD,2027-01-15,2027-01-15,call
