Date,AMD
2019-08-01,31.450000762939453
2019-09-01,28.989999771118164
2019-10-01,33.93000030517578
2019-11-01,39.150001525878906
2019-12-01,45.86000061035156
2020-01-01,47.0
2020-02-01,45.47999954223633
2020-03-01,45.47999954223633
2020-04-01,52.38999938964844
2020-05-01,53.79999923706055
2020-06-01,52.61000061035156
2020-07-01,77.43000030517578
2020-08-01,90.81999969482422
2020-09-01,81.98999786376953
2020-10-01,75.29000091552734
2020-11-01,92.66000366210938
2020-12-01,91.70999908447266
2021-01-01,85.63999938964844
2021-02-01,84.51000213623047
2021-03-01,78.5
2021-04-01,81.62000274658203
2021-05-01,80.08000183105469
2021-06-01,93.93000030517578
2021-07-01,106.19000244140625
2021-08-01,110.72000122070312
2021-09-01,102.9000015258789
2021-10-01,120.2300033569336
2021-11-01,158.3699951171875
2021-12-01,143.89999389648438
2022-01-01,114.25
2022-02-01,123.33999633789062
2022-03-01,109.33999633789062
2022-04-01,85.5199966430664
2022-05-01,101.86000061035156
2022-06-01,76.47000122070312
2022-07-01,94.47000122070312
2022-08-01,84.87000274658203
2022-09-01,63.36000061035156
2022-10-01,60.060001373291016
2022-11-01,77.62999725341797
2022-12-01,64.7699966430664
2023-01-01,75.1500015258789
2023-02-01,78.58000183105469
2023-03-01,98.01000213623047
2023-04-01,89.37000274658203
2023-05-01,118.20999908447266
2023-06-01,113.91000366210938
2023-07-01,114.4000015258789
2023-08-01,105.72000122070312
2023-09-01,102.81999969482422
2023-10-01,98.5
2023-11-01,121.16000366210938
2023-12-01,147.41000366210938
2024-01-01,167.69000244140625
2024-02-01,192.52999877929688
2024-03-01,180.49000549316406
2024-04-01,158.3800048828125
2024-05-01,166.89999389648438
2024-06-01,162.2100067138672
2024-07-01,178.66000366210938
