date,close,label
2024-12-24 14:32:00,[140.23500061],Sell
2024-12-24 14:42:00,[141.16999817],Buy
2024-12-24 14:44:00,[141.19500732],Sell
2024-12-24 14:48:00,[141.7183075],Buy
2024-12-24 14:56:00,[141.42100525],Sell
2024-12-24 15:05:00,[141.69000244],Buy
2024-12-24 15:09:00,[141.47000122],Sell
2024-12-24 15:23:00,[140.71060181],Buy
2024-12-24 15:29:00,[140.82009888],Sell
2024-12-24 15:37:00,[140.44500732],Buy
2024-12-24 15:40:00,[140.64500427],Sell
2024-12-24 16:02:00,[141.25999451],Buy
2024-12-24 17:29:00,[140.76449585],Sell
2024-12-24 17:37:00,[139.69500732],Buy
